Tag	RBF score
PDEN	0.99775
PREP+PRO-KS	0.9997
PCP	0.92165
IN	0.99815
PRO-KS	0.99945
NPROP	0.7121
PU	0.9995
PROADJ	0.9966
NUM	0.9574
PREP+PROADJ	0.99875
ADV	0.9825
ADV-KS	0.99985
PREP+PROPESS	0.9996
PROSUB	0.9966
CUR	0.99985
PROPESS	0.99895
PREP+ADV	0.9998
PREP+PROSUB	0.9986
N	0.66325
V	0.8037
ADJ	0.88395
KC	0.9983
ART	0.99965
PREP+ART	0.9992
KS	0.99785
PREP	0.9957
